"year","week","zone","spp","pools_L","pools_G","n_pools","pos_pools_L","pos_pools_G","n_pos_pools"
2014,30,"LV","Pipiens",6,0,6,0,0,0
2014,30,"LV","Tarsalis",30,0,30,2,0,2
2014,30,"NE","Pipiens",13,1,14,0,0,0
2014,30,"NE","Tarsalis",48,1,49,0,0,0
2014,30,"NW","Pipiens",9,2,11,0,0,0
2014,30,"NW","Tarsalis",22,0,22,0,0,0
2014,30,"SE","Pipiens",17,2,19,0,0,0
2014,30,"SE","Tarsalis",70,1,71,3,0,3
2014,30,"SW","Pipiens",6,2,8,0,0,0
2014,30,"SW","Tarsalis",13,1,14,0,0,0
2015,24,"LV","Tarsalis",6,0,6,0,0,0
2015,24,"NE","Pipiens",6,4,10,0,0,0
2015,24,"NE","Tarsalis",8,0,8,0,0,0
2015,24,"NW","Pipiens",3,2,5,0,0,0
2015,24,"NW","Tarsalis",6,0,6,0,0,0
2015,24,"SE","Pipiens",4,5,9,0,0,0
2015,24,"SE","Tarsalis",12,0,12,0,0,0
2015,24,"SW","Pipiens",5,1,6,0,0,0
2015,24,"SW","Tarsalis",7,0,7,0,0,0
2015,25,"LV","Tarsalis",33,0,33,0,0,0
2015,25,"NE","Pipiens",6,4,10,0,0,0
2015,25,"NE","Tarsalis",17,1,18,0,0,0
2015,25,"NW","Pipiens",4,2,6,0,0,0
2015,25,"NW","Tarsalis",10,0,10,0,0,0
2015,25,"SE","Pipiens",6,4,10,0,0,0
2015,25,"SE","Tarsalis",28,1,29,0,0,0
2015,25,"SW","Pipiens",4,1,5,0,0,0
2015,25,"SW","Tarsalis",9,0,9,0,0,0
2015,26,"LV","Pipiens",4,0,4,0,0,0
2015,26,"LV","Tarsalis",14,0,14,0,0,0
2015,26,"NE","Pipiens",6,6,12,0,0,0
2015,26,"NE","Tarsalis",20,3,23,1,0,1
2015,26,"NW","Pipiens",6,2,8,0,0,0
2015,26,"NW","Tarsalis",13,0,13,0,0,0
2015,26,"SE","Pipiens",11,7,18,0,1,1
2015,26,"SE","Tarsalis",28,0,28,0,0,0
2015,26,"SW","Pipiens",4,2,6,0,0,0
2015,26,"SW","Tarsalis",8,0,8,0,0,0
2015,27,"LV","Pipiens",4,0,4,0,0,0
2015,27,"LV","Tarsalis",28,0,28,0,0,0
2015,27,"NE","Pipiens",7,4,11,0,0,0
2015,27,"NE","Tarsalis",15,0,15,1,0,1
2015,27,"NW","Pipiens",8,2,10,0,0,0
2015,27,"NW","Tarsalis",7,0,7,0,0,0
2015,27,"SE","Pipiens",10,6,16,0,0,0
2015,27,"SE","Tarsalis",24,1,25,0,0,0
2015,27,"SW","Pipiens",3,1,4,0,0,0
2015,27,"SW","Tarsalis",9,0,9,0,0,0
2015,28,"LV","Pipiens",4,0,4,0,0,0
2015,28,"LV","Tarsalis",31,0,31,0,0,0
2015,28,"NE","Pipiens",9,8,17,0,0,0
2015,28,"NE","Tarsalis",27,0,27,1,0,1
2015,28,"NW","Pipiens",6,3,9,0,0,0
